City,Attack,Target
San Miguel,3,8
Herat,3,14
Jerusalem,3,1
Arauquita,2,4
Chiquian,2,1
Huaraz,2,3
Hungama,2,4
Berlin,1,14
El Colorado,2,14
Androgue,3,15
San Salvador,1,8
San Francisco Gotera,2,4
Unknown,3,4
Batala,2,4
Kiwulla,2,4
Siyam Balanduwa,2,14
Morowaka,1,1
Beirut,3,22
Vavuniya,2,4
Deniyaya,3,2
Medellin,1,1
Medellin,1,8
Lima,1,3
Barranca,1,1
Mbabane,3,2
Londonderry,3,4
Belfast,3,4
Soroti,2,14
Otoboi,3,14
San Nicolas,3,2
Brussels,6,2
Ballintra,1,3
San Salvador,1,8
San Salvador,1,4
Chupan,1,4
Kathunangal,3,19
Popayan,3,14
Popayan,3,14
Popayan,3,14
Zacatecoluca,3,4
Hnitkarin Village,3,19
Lanao del Sur Prov.,6,19
Durban,3,21
Sandhurst,3,21
Benoni,1,2
Ciskei,3,1
Katlehong,3,3
Nongoma,9,3
Taraza,1,2
Ayacucho,1,3
Shankerdura,3,3
London,3,7
Rosario,2,3
Fatehpur,2,3
Cabo Delgado Prov.,1,15
Mdadza village,1,14
Manila,1,2
Belfast,1,2
Ludhiana,3,19
Tricomalee,3,2
Milton Keynes,7,1
Athens,1,10
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
Panama City,3,7
El-Minya,2,3
Dulce Nombre de Maria,2,14
Moratuwa,3,1
Hambantota,2,4
Vavuniya Area,2,4
Jaffna,2,4
Atambagahakada,2,4
Denora,1,2
Belfast,1,14
Belfast,3,2
Osorno,3,1
Lima,3,21
Lima,3,21
Lima,3,21
Lima,3,21
Lima,3,21
Damascus,1,2
La Rochela,1,2
Chundikulam,2,4
Attil,1,1
Beirut,3,4
Kinavane,2,2
Movene*,3,19
Unknown,3,4
San Fernando,2,4
Jocoro,3,21
Jocoro,2,4
Canto Grande,2,3
Pucallpa,1,2
Lima,2,3
Mannar,2,4
Kandy,2,22
San Salvador,3,3
Huamaguilla,3,14
San Juan Batista,3,14
Soweto Township,2,3
Tripoli,2,4
Jocoro,2,3
La Oroya,3,1
Kandy,3,22
Mannar District,2,4
Amarkalan,1,14
Rio Blanco,1,2
Santiago,3,21
Beirut,3,4
Jiquilisco,2,4
Juan Parra del Riego,3,14
Athens,1,2
chittagong,3,14
Nabulus,7,1
Buenos Aires,3,4
Alto San Jorge,2,4
El Tambo,2,2
Chitega,6,2
Patiala district,1,14
Santu Nangal,1,14
Bhantinda,1,2
Santiago,1,1
lusaka,3,19
Kegalle,2,2
Maharagama,1,3
Hakmana,1,3
Jaffija*,1,2
Lisburn,1,14
Tegucigalpa,1,4
Ratnapura,3,3
Londonderry,3,2
Arauca Intendency,3,21
La Ceiba,2,3
Saravena,2,3
Perquin,2,4
San Pedro Jocopilas,3,4
Andahua,7,14
Ropar,1,14
Minneriya,1,2
Colombo,1,2
Ica,1,10
Bulembu,3,1
Punjab state,3,19
Arauca Intendency,3,21
San Salvador,1,2
Beirut,3,4
Habur,2,1
Habur,7,1
Jucuapa,2,4
Santa Elena,2,4
Subpanjalla,2,3
La Herradura,3,1
Guaduas,1,3
EL Carrizal,1,14
El Triunfo,1,2
Beirut,3,4
Istanbul,3,1
Istanbul,3,1
Ankara,3,13
Alto Paujil *,2,4
Santa Ana,3,4
Jucuapa,2,4
Ica,2,2
Ica,2,2
Jaffna,2,4
Jaffna,3,2
Medellin,6,1
Kandy,1,3
San Salvador,1,7
Durban,3,14
Weligama,7,2
San Salvador,3,1
Caracas,3,2
Beirut,3,4
Bar Elias,3,4
Beirut,3,4
Tripoli,3,4
Sion Mills,3,3
San Salvador,2,4
Polonnaruwa District,2,2
Polonnaruwa District,2,2
Colombo,2,3
Colombo,2,3
Mattakkuliya,2,3
Matale,1,2
Quinua,1,14
Chilcas,1,2
Livingstone,3,1
livingstone,3,1
Bajo Simacota *,2,4
San Miguel de Mercedes,2,4
El Poy,2,4
Nueva Concepcion,2,3
Elviti,2,4
San Jose,3,14
Akuressa,2,4
Southern Province,2,4
Dixon,7,1
Hoshiardpur district,1,2
Kurunegala,1,22
Ayacucho,1,10
Beit Lid,1,13
Wear Amritsar,3,19
Santiago,3,1
Ayacucho,3,2
Beirut,1,2
Sydney,2,22
Buenos Aires,2,3
Samore,2,4
La Laguna,3,4
Concepcion Quetzaltepeque,2,14
Dulce Nombre de Maria,2,14
Cerro De Pasco,1,3
Ozamis City,3,14
Belfast,3,4
Tegucigalpa,2,1
Santa Lucia,3,3
Sultan Kudarat,2,4
Weligama,3,22
Bhai Ladhu,1,14
Canhoca,3,19
Belfast,3,3
Belfast,3,3
Santiago,3,16
Belfast,2,2
Soto Cano Air Base,2,4
Tegucigalpa,2,12
Rijatipet,2,3
Bie Province,3,19
La Coruna,2,3
Saravena,3,4
Adilabad District,2,3
Boyagodayaya,2,14
Alldays,9,4
Hostigal,1,2
"Shibuya Ward, Tokyo",3,2
Barahona,3,14
Maragra,2,1
Bogamuwewayaya,2,14
Chandigarh,1,14
Bentota,1,14
San Jacinto,1,1
Saiza,2,4
Chandigarh,1,22
Beliatta,1,14
Beliatta,1,14
Quetta,3,19
Movene,3,19
Mendoza,2,4
La Belleza,2,4
Ferozepur District,2,4
Hingurakgoda,3,2
Hakmana,2,3
Manila,1,4
San Jose,1,2
Lima,1,2
Suchitoto,3,4
San Vicente de Chucuri,2,4
Paris,1,1
Vigo,3,3
San Salvador,3,2
San Pedro Sula,3,1
Beirut,3,4
Buenos Aires,2,4
Zaragoza,2,4
El Bagre,2,4
Masahuat,2,4
Karachi,2,14
Santiago,1,3
Bugaramanca,1,14
Bucaramanga,1,17
Guatemala city,1,2
Barranca,1,3
Valachenai,7,19
Vavuniya,3,2
Usti Nad Labem,3,2
Cordoba Dept,7,1
Cartago,2,14
Pa-an,2,2
Loon,2,3
Aguasan Del Sur Prov.,2,4
Kandy,2,4
Manila,1,2
Belfast,1,14
Al Jahiliyah,1,2
Cassoalala,3,21
Durban,3,3
San Salvador,3,10
Panama City,3,10
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Beirut,2,4
Beirut,2,4
Beirut,2,4
Beirut,2,4
Beirut,3,4
Johal,1,14
Hira,1,14
Suriyawewa,2,14
Cape Town,3,14
Johannesburg,3,4
Johannesburg,3,14
sringagar,3,14
Dhaligaon,3,19
Cauca Department,2,3
Valencia,2,3
Usulutan,5,10
San Marcos,3,3
Suriyawewa,2,3
La Parra,6,14
Galle,1,2
Belfast,1,1
Colombo,3,22
Cologne,3,8
San Salvador,1,4
Jerusalem,3,1
Magangue,2,11
Lima,3,2
Yinyon village,2,14
Kyondo,2,14
Wekarein,2,3
Ampara District,2,1
Dutuwewa,2,14
Manila,1,3
Kelaniya,1,2
Belfast,1,14
Piliyandala,3,22
Angooa,3,22
Apopa,3,21
Apopa,3,21
Beirut,3,4
Lima,1,13
Gothatuwa,3,22
Piliyandala,3,22
La Rioja,3,10
Holmberg,2,4
Rio Cuarto,2,4
Htonaing,2,14
Imphal,2,3
Seapani,1,19
Dublin,1,2
Bogota,1,6
Rionegro,1,2
Tlokweng,3,1
hmawbi,2,14
Santiago,3,3
Thaton,2,19
Jaffna,2,4
Seapani,6,19
Salakati,1,2
Ahmadgarh,1,3
Gandara,1,22
Colombo,1,2
Bandarawela,1,2
Jibrayel,1,14
Ciskei,3,2
Pitigala,3,2
San Salvador,3,12
Jiquilisco,3,19
San Judas,3,19
Jiquilisco,3,21
Jiquilisco,3,21
Jiquilisco,3,21
Jiquilisco,3,21
Jiquilisco,3,21
Guaranda,2,4
Astillero,2,4
El Guapinol,5,14
Loria Para,2,3
Runikheta,2,2
Kamburupitiya,2,2
Colombo,2,22
Badulla,2,2
Baddegana,2,3
Mahiyangana,2,2
Anuradhapura,2,4
Soweto,9,3
Katlehong,1,3
Katlehong,1,3
Ludhiana,1,1
Belfast,1,1
Bucaramanga,1,14
San Salvador,1,17
Kala Afghana,3,14
San Salvador,3,3
Katleheng,3,3
Entre Rios,3,4
Santa Maria Ostuma,2,4
Jerusalen,2,14
Zacatecoluca,2,4
San Vicente,2,4
San Salvador,3,3
Suchitoto,2,4
Gaza,6,4
Piura,1,3
Assam State,3,19
Assam State,3,19
Budapest,3,19
Cucumacayan,3,21
Cucumacayan,3,21
San Sebastian,3,21
San Sebastian,3,21
La Mascota,3,21
La Mascota,3,21
La Mascota,3,21
San Miguel,3,4
San Miguel,3,4
Metapan,3,1
Huallaga,3,21
Huallaga,3,21
Huallaga,3,21
Ayacucho,3,21
Ayacucho,3,21
Ayacucho,3,21
Ayacucho,3,21
Ayacucho,3,21
Movene,2,19
Chikarawa,2,2
Sensuntepeque,2,4
Quiches,2,3
Kawkareik township,2,19
Winwa,7,14
Udalgiri,1,2
Fakirgram,2,2
Jerusalem,1,4
Danktal,3,19
Kokrajhar district,1,2
San Salvador,3,19
San Salvador,7,19
Comayagua,3,4
Villa Victoria,2,4
Huaurahua,2,14
Bengtol,9,3
Sidli,9,3
Panbari,9,3
Khera,1,14
Talwandi Rai Dadoo,1,13
Hobo,1,3
Medellin,1,3
Currulao,1,3
Huichinga,1,14
Gossaigoan,3,3
Mineros De Antioquia,3,21
Pariahuanca,2,17
Mundoviejo,1,2
Caucasia,1,2
Tame,1,2
Shrewsbury,3,4
Tegucigalpa,3,2
Gulu,2,14
Beirut,2,4
Beirut,1,22
Las Conchas,2,4
Santa Maria,2,3
Acevedo,2,4
Chiara,1,2
Colombo,3,1
Galle,3,4
Colombo,3,1
Renaca,3,21
Apopa,7,2
Apopa,7,1
Apopa,7,16
Tegucigalpa,3,2
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Mantaro,3,21
Lima,3,21
Lima,3,21
Lima,3,14
Lima,3,1
Herat,3,1
Santiago,3,2
San Salvador,3,4
Zacatecoluca,2,4
San Miguel de Mercedes,2,4
Potonico,2,4
Pallca,3,4
Huancavelila,2,4
Myawadi,3,14
Narita,3,6
Agusan Del Sur Prov.,2,1
Malapatan,1,14
Matara,3,4
Colombo,2,1
Mohnyin,2,19
Carmen de Atrato,6,3
Carmen,1,2
Hambantota,1,2
Galawela,1,14
Nimalawa,1,14
Welioya,1,14
Londonderry,1,4
Chiare District,2,2
Ayacucho,1,14
Athens,3,1
Athens,3,14
Athens,3,14
Vina Del Mar,3,1
Hermon,3,14
Tripoli,3,4
Garcia Rovira,2,4
Tierra Alta,2,4
Cacaopera,2,4
Ciudad Barrios,2,4
Corinto,2,4
Guatajiagua,2,4
Lolotique,2,4
El Triunfo,2,4
Chapeltique,2,4
Chinameca,2,4
Miraflores,2,14
Gloriapatria,2,14
Chosica,2,3
Maymyo,3,19
Manila,2,3
Elpitiya,3,2
Villavicencio,1,13
Bristol,3,8
Lima,1,1
Jerusalem,3,4
Soweto,2,14
Beirut,3,4
Nat Miao,2,14
Weli Oya Village,2,14
Moelfre,3,1
Barmouth,2,11
Lurgan,3,19
La Ceiba,3,1
Beirut,3,1
Rovira,2,3
Miami,3,1
Lota,3,21
Lota,3,21
Lota,3,21
Guatemala City,3,1
San Pedro Sula,3,21
Ayacucho,3,14
Concepcion,5,16
San Pedro Sula,2,3
Belfast,1,14
Belfast,1,3
Karachi,3,3
Karachi,3,2
Iraklion,3,2
Llanberis,3,1
Beirut,3,4
Torit,6,15
Ayacucho,1,14
Ayacucho,1,14
Ayacucho,3,4
Beirut,3,1
Khartoum,2,2
Santiago,2,3
Pisco,2,3
Ampara District,2,3
Borawewa,2,14
Huamanga,6,8
Valle Del Cauca Dept.,1,1
San Roque,1,8
Bogota,3,8
San Salvador,1,2
Lima,3,2
Lima,3,21
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Beirut,3,4
Beirut,3,4
Beirut,3,4
Beirut,3,4
Beirut,3,1
Tripoli,2,4
Nueva Concepcion,2,4
Usulutan,2,4
Ciudad Arce,2,4
Berlin,2,3
Suchitoto,2,4
Chinameca,2,4
Ilobasco,2,4
Lima,2,3
Canaire,2,14
Puente Lamarate,2,4
Vietiane,6,1
New York City,7,10
Berkeley,7,1
Berkeley,7,1
Kinogitan,1,2
Ratnapura,1,14
Weligama,1,14
Panadura,2,14
Trincomalee Dist.,1,3
La Jagua de Jbirico,1,2
Iraklion,3,2
Iraklion,3,1
Hamburg,7,1
La Pampa,7,2
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
Beirut,3,13
Santa Rosa de Lima,2,4
Chavakachcheri,2,4
Quinota,1,8
Santo Tomas,1,8
Colquemarca,1,18
Transvaal Prov.,3,2
Barcelona,3,2
Bogota,3,15
Lima,3,1
Lima,3,1
Lima,3,1
Zar'it,2,4
Unknown,8,14
Grand Bassis,1,2
Bogota,1,2
Dhidhimotikhon,3,8
Newry,3,19
San Salvador,3,2
Asmara,1,10
Lingelethu West,1,2
Amritstar district,1,3
Ludhiana District,1,14
Lebauese Forces Militia,1,17
Johannesburg,3,21
Reggio nell Emilia,7,1
Reggio nell Emilia,7,1
Reggio nell Emilia,7,1
Reggio nell Emilia,7,1
Belfast,3,4
Valledupar,1,2
Tripoli,2,4
North Burma,2,4
Sonada,2,3
Faridkot District,2,3
Jalandhar District,2,14
Palampattu,3,4
Mullaitivu Dist.,2,4
Jhabal,1,8
Cumaral,1,2
Assam state,3,19
Udalgiri area,3,19
Padua,7,1
Beirut,1,22
Gugapir,2,14
Tokyo,7,2
Liberal Party,1,2
Sanchez Carrion,1,2
Unknown,2,19
Tuabo,2,6
Beirut,3,1
Porongo,2,4
Santander Dept.,6,21
Hichinga,1,14
Narita,7,1
Nejapa,3,21
Embalse Cerron Grande,3,21
San Martin,3,21
San Lorenzo Dam,3,21
5th of November Hydroelectric Dam,3,21
Beirut,3,15
Beirut,3,1
Beirut,2,4
Croag,2,1
Ciudad Barrios,2,4
Carolina,2,4
Osicala,2,4
Cacaopera,2,4
San Jose,5,14
Phagwara,1,2
Angeles,1,1
Colombo,1,8
Pasco,1,2
Londonderry,3,4
Beirut,3,22
Beirut,3,4
Beirut,3,4
Khaldah,3,4
Londonderry,3,4
Berlin,3,13
Kandy,2,19
Unknown,1,1
Belfast,1,14
Santiago de Compostela,1,3
ambo,1,2
Santa Maria Delvalle,1,14
Huancayo,1,3
Durban,3,4
Durban,3,4
Athens,3,1
Tenjo,2,14
Kichki,2,2
Tomayquichua,2,2
Ambo,2,2
Huarpacha,2,2
Unknown,2,3
San Diego,1,4
Vina Del Mar,3,21
Valparaiso,3,21
Valparaiso,3,21
Valparaiso,3,21
Santiago,7,19
Santiago,3,21
Santiago,3,21
Santiago,1,2
Lima,3,2
Londonderry,3,4
Tulcahuano,3,2
Chillan,3,2
Wear Itaue,3,21
Changuan,3,21
Antuco,3,21
Talcahuano,3,2
Nampala Province,2,14
Londonderry,1,4
La Pena,1,14
Santa Tecla,3,2
Pichanaki,2,3
Dungannon,1,4
Bongaigaon,3,14
Bongaigaon,3,1
Vitoria,3,4
La Paz,3,22
La Paz,3,22
La Paz,3,2
La Paz,3,2
La Paz,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,2
El Alto,3,22
El Alto,3,22
El Alto,3,22
Beirut,2,4
Beirut,2,4
Kokrajhar,2,19
San Salvador,1,8
Peshawar,3,13
Beirut,3,7
Chalatenango,2,4
San Salvador,3,2
Cuarto Pueblo,3,4
Colombo,2,3
Colombo,2,3
Jaela,1,22
Belfast,1,17
Esuwagaon,3,3
Marj Uyun-Ibil,2,4
Quinti,2,3
Kokrajhar District,2,3
Gandara,3,3
Matugama,2,3
Memba,6,12
Masbate,1,2
Srinagar,3,14
Tinsukia,3,14
Rome,3,2
San Salvador,7,19
Beirut,3,1
Ciudadela,2,4
Soyapango,2,12
San Antonio Los Ranchos,2,4
Lakhne,1,14
Gurdapur district,1,1
Sutton Coldfield,7,1
Haverfordwest,3,1
Liverpool,3,1
London,7,1
San Salvador,3,3
Lima,3,7
Sangrur District,1,14
Lakhana Village,1,14
Daet,1,3
Hanwella,1,22
Belfast,1,14
Dhilwan Village,1,2
udalgiri,3,14
San Salvador,2,1
Silopi Township,2,4
San Salvador,2,4
Santa Ana,2,4
San Salvador,3,4
Amritsar,3,8
Amritsar,2,3
Madhoke Village,2,3
Punjab State,2,3
Lakewood,3,4
Eppawala,3,3
Masbate,1,2
Manila,1,1
Iriga,1,3
Medellin,3,1
Petah Tikva,1,2
Istanbul,3,6
Pessene,2,4
Jonesborough,1,3
Los Angeles,3,2
Cle Elum,7,1
Bukidon Province,1,2
Kilrea,1,1
Tel Aviv,1,14
Frankfurt,7,2
Buenos Aires,3,1
Santiago,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
Lima,7,2
Petah Tiqua,3,14
Petah Tiqua,3,14
Nzero,2,4
San Salvador,3,3
Srinagar,3,3
Amritsar,2,3
Quezon City,1,2
Vitarte,1,2
Ja-Ela,7,19
Ja-Ela,7,19
West Berlin,3,1
La Paz,3,7
Lima,1,1
Cerro de Pasco,3,3
Parashga,3,2
Cerro de Pasco,3,21
Cerro de Pasco,3,21
Cerro de Pasco,3,21
Maputo,2,1
San Salvador,2,3
San Salvador,3,4
Jauja,2,3
Satipo,3,3
Ambalangoda,2,19
Prague,4,6
Dhariwal Kalan,1,14
Ajaccio,1,13
Tarija,3,15
Kizilsu Area,2,16
San Salvador,2,4
San Isidro,2,4
Unknown,2,1
Ozatlan,2,4
Concepcion Quetzaltepeque,2,4
Yauricocha,2,14
Ninacaca,1,2
Nazareth,2,14
amritsar,3,14
Niassa Province,2,4
Lacor,2,1
Village of Arraba,3,3
Nechi,2,4
Battambang Prov.,3,4
Hoshiapur District,2,3
Alkan Province,1,2
Huancayo,1,3
Dundrum,2,3
La Linea,2,4
Santan Rita de Ituango,2,4
Miami,3,1
Pucallpa,1,3
Islamabad,3,2
Logrono,3,1
Logrono,3,1
Belfast,3,2
Urchiza,2,3
Myawadi,3,13
Catarman,1,2
Brussels,7,2
Sao Paulo,3,7
Palenga,2,1
South Catabato Province,2,2
South Catabato Province,2,2
South Catabato Province,2,2
Bogota,1,1
Monteria,1,3
Medellin,1,13
Puttur,3,4
Lima,3,1
Dondo,2,4
Manhica District,2,19
Soweto,3,14
Soweto,3,14
Pakwach,2,1
Jaffna,2,4
Wanni,2,4
Brahma Attari,1,13
Ludhiana District,1,14
Mattakuliya,1,13
Brussels,1,15
Lyon,3,7
Haryana,2,3
Cucuta,6,2
Cucuta,6,10
Cucuta,6,10
Colombo,1,1
Carhua Pampa,2,17
Petah Tiqua,3,14
Huacrachuco,2,3
Ocala,7,5
Alto Huallaga,6,10
Ayacucho,1,2
Suva Reka,3,4
Osijek,3,10
Istanbul,3,1
Istanbul,3,1
Ankara,1,7
Ankara,3,7
Jullundur District,1,14
Ludhiansa,1,1
Belfast,1,3
Pachagra,2,14
Lima,3,1
Lima,3,1
Guayaquil,2,4
Cajacay,2,3
Tucson,7,8
Ballymoney,1,17
Santa Ana,1,2
San Salvador,7,2
San Salvador,7,1
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
Soyapango,7,1
San Nicolas Lempa,3,1
Las Cruces,7,1
Nueva Guadalupe,7,14
Jucuaran,2,4
Suchitoto,2,4
Aguas Frias,3,4
Loma de Ramos,3,4
Chinameca,2,4
San Marcos,2,16
Los Pozos,2,4
Jutiapa,2,4
Quezaltepeque,2,3
Cacaopera,2,4
El Tortuguero,2,4
San Ildefonso,2,4
Medellin,6,1
San Salvador,1,13
Manila,3,4
Imperial,1,2
Manila,3,4
Kurunegala,2,19
Kurunegala Dist.,7,13
Kurungala Dist.,7,2
Medellin,3,10
Medellin,3,1
Zacatecoluca,3,14
San Salvador,3,14
San Salvador,3,14
San Salvador,3,1
San Salvador,3,1
San Salvador,3,1
San Salvador,3,1
San Salvador,3,1
San Salvador,3,1
San Salvador,3,1
San Salvador,3,1
San Juan Opico,3,4
Guatemala City,3,3
Lislico,2,14
La Ceiba,2,4
El Sitio,2,4
El Castano,2,4
Tejutepeque,2,3
Ciudad Barrios,2,4
Galle District,3,4
Yarima,1,14
Johannesburg,3,14
Armagh,3,2
Zacatecoluca,2,4
El Paraiso,3,4
Vavuniya District,2,4
Mindanao Island,6,13
Belfast,2,20
Belfast,2,20
Belfast,2,20
Irun,1,3
Dikbiyik,1,14
Durban,3,3
sirajganj district,3,2
Santiago,3,7
Jamphal,2,3
Srinagar,2,3
Srinagar,2,3
Hambantata Dist.,3,3
Hambantota District,3,3
Hungama,3,3
Lunugamvehera,3,3
Zuasti,3,19
Zuasti,3,19
Navarra (Province),3,21
Navarra (Province),3,19
Navarra (Province),3,19
Navarra (Province),3,19
Navarra (Province),3,19
Navarra (Province),3,19
Navarra (Province),3,19
Navarra (Province),3,19
Tuba,3,4
Mantaro River,3,21
Pachitea River,2,4
Ocala,7,5
Fort Myers,7,5
Montana De Jaca,1,4
Kuala Lumpur,3,2
Kuala Lumpur,3,7
Athens,1,2
Newry,3,19
Soweto,2,1
Comasagua,3,1
Pantarpata,2,14
Cap-Haitien,4,6
Vitoria,1,2
Talca,1,3
Chongos,2,2
Jerusalem,1,14
London,7,1
London,7,1
Olanchito,3,4
Madrid,1,2
Madrid,1,2
Torrejon De Ardoz,1,3
Las Arenas,1,3
Warrenpoint,3,3
Muenster,7,1
Frankfurt,7,1
Santiago,3,2
Zaragoza,3,1
San Salvador,3,1
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
Moshav Ram On,3,21
Tsavo West,2,18
Jucuapa,2,4
San Jose de las Flores,2,4
San Salvador,2,4
Vavunitya Dist.,3,3
Huancayo,1,2
Mpopmeni,2,14
Pata,2,14
Trincomalee,3,14
Tricomalee,3,1
Hamburg,7,13
Unknown,1,2
Fayoum,3,2
Cora Cora,2,3
Tantarpata,2,14
Jotapuquio,2,14
Jaffna,3,4
Jaffna,2,4
Iranai,2,4
Soweto,3,2
Nigel,3,2
Meadowlands,3,2
Srinagar,3,2
srinagar,3,2
Donostia-San Sebastian,3,3
West Berlin,7,1
West Berlin,7,1
Jezzine,3,17
Talcahuano,2,3
Jaffna,2,14
Cachira,6,2
Toledo,6,2
Kumi district,1,2
Losaka,1,2
Dhaka,1,14
Jaffna,2,8
San Salvador,1,2
Cookstown,3,3
Santiago,2,3
Hambantota,2,4
Weli Oya District,2,4
Naples and Rome,8,1
Durban,3,3
Yeoville,3,3
Katlehong,9,3
Thokoza,1,3
Thokoza,2,2
Morawaka,1,22
Cachachi,1,2
bihar,3,14
uri,3,4
Colombo,3,17
Colombo,3,1
Colombo,3,19
Arrasate,3,14
Ocana,3,21
Tegucigalpa,3,7
Pardes Kaz,3,14
Ocana,2,3
Yarinacocha,1,2
Athens,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,19
Renca,7,19
Lima,3,7
Embilipitiya,3,4
Kurunegala District,2,3
Ratnapura District,3,4
San Pedro de Loc,1,2
Gaza  City,1,14
Osaka,3,1
Villabona,7,1
Elizalde,7,1
Tolosa,7,19
Villafranca De Ordizia,7,19
Donostia-San Sebastian,3,1
Santiago,3,1
Santiago,3,2
La Quebrada del Loro,3,21
Bor Town,2,4
Torit,3,7
Santiago,2,2
Cesar Dept,6,10
Chicago,7,14
Tarntaran,1,14
Kulian,1,14
San Salvador,1,2
Ayacucho City,1,2
Karachi,3,19
Bilbao,3,3
Isla Tabaco,3,21
Huancayo Dept,3,21
Huancayo Dept,3,21
Huancayo Dept,3,21
Jerusalem,3,14
Mardin,2,3
Rangamati,6,14
Isla Tobaco,6,1
Kottegoda,1,14
San Bernardo,1,3
Moscow,3,19
Ostankinskiy,3,19
Karlsruhe,7,2
San Bernardo,3,21
Huancayo city,3,1
Huancayo city,3,2
Huancayo city,3,1
Ramallah,3,3
Dayr Harfa,3,4
Santiago,3,3
Khagrachari Hills,2,14
Amritsar District,2,14
Guardaspur Dist,6,14
Manila,1,4
Tingo Maria,1,10
El Romeral,3,19
Tripoli,2,4
Huechuraba,3,3
San Salvador,3,4
Kokrajhar,2,3
Pitigala,2,3
Kapalturai,1,17
Vilankulam,1,14
Belfast,1,1
Bucaramanga,1,14
Acolla,1,2
South Israel,1,4
Kokrajhar,3,3
Saqqez,2,4
Liborina,2,14
Sindanga,2,17
Liborina,6,3
Pokigron,5,14
Lima,1,2
Urumiye,1,7
Ntuzuma,2,3
Bilbao,3,14
Riaza,3,19
Guadalajara,3,19
Rueda De Jalon,3,19
Baides,3,19
West Berlin,7,8
Guatemala City,1,3
Cusco,3,2
Kabul,3,21
Istanbul,2,1
Belfast,3,3
Ningbo,4,6
Amritsar,1,14
Bilbao,1,4
Huehuetenango,1,4
Nablus,1,14
lusaka,3,14
Kamari,3,1
Mphophomeni,2,14
Witwatersrand,2,8
Divandarreh,2,4
Contamana,2,14
Tamoun,6,14
Guatemala City,1,4
Cangallo,1,2
Halickuv Brod,3,19
San Salvador,1,2
Jerusalem,7,14
Mata de Coco,2,4
Jammu,2,8
Burawin,2,3
Girardota,6,13
Ressado Garcia,2,1
Lima,1,2
Ressando Garcia,2,19
Lasarte,3,1
Myawady,2,14
Manila,1,1
Hebron,1,14
Johannesburg,3,14
Tokyo,3,2
Narashino,7,4
Lonqavi,7,19
Santo Domingo,3,7
San Salvador,3,8
Jerusalem,3,3
Jerusalem,3,1
Xinavane,2,19
Jauja,2,4
Huncayo,6,8
Monterey,7,1
Karuwalagaswewe,1,13
Bogota,3,10
El Bireh,1,2
Katukeliyawa,2,3
Akurugoda,2,4
Manila,1,3
Cullpa,1,14
Chibuto,2,14
Northern Iraq,2,4
Johannesburg,1,14
Dharamgarh,1,14
Mullaitivu,1,22
Jaffna,1,2
SoyaPango,1,2
Tulkarm,1,1
Zawiya,1,14
Johannesburg,3,1
assam state,3,19
Podujeva,3,21
South Lebanon,3,4
Eruh,2,19
Taplada de Ludin,2,3
Vischongos,2,4
Huaraz,2,2
Huaraz,2,3
Medirigiriya,2,3
Sidon,1,17
Sidon,1,17
quetta,3,1
Elizalde,3,1
Volta Redonda,3,13
Panagoda Homagama,2,4
Vavuniya,2,4
Kullapadu-Mullaitivu,2,22
Colombo,2,4
Batticalo,3,1
Jerusalem,1,14
San Salvador,3,7
La Zolla,3,21
Mafikeng,8,4
El Playon,2,3
Bucaramanga,2,3
Surigao Del Sur Prov.,2,4
Point Pedro,2,4
Kiryat Malachi,6,4
Goosanah,1,2
Loughgall,1,3
Loughgall,1,3
Ponta Pora,1,1
al-Mawayra,1,14
Tamra,1,14
Near Crossmaglen,3,4
Silverbridge,3,4
La Zorra,3,13
Tel Aviv,7,14
Al-Khiyam,3,17
Mdantsane,2,3
Al-Khiam,3,17
Angeles,2,4
Ludhiana City,1,2
Bogota,1,2
Guayaquil,1,3
Khan Yunus,1,14
Azzun,3,1
Aramtah,3,4
Ferozepore,1,2
Chitta Village,1,14
Lima,1,2
Doma,3,19
Katu,3,19
Moybane,3,4
Tafalla,3,21
Lima,3,4
Windhoek,2,10
Windhoek,2,7
Sohal,2,3
Bushertala,2,3
Risaralda,1,2
Randfontein,1,2
nantes,3,2
Camlough,3,4
Barcelona,3,1
Windhoek,2,10
Unknown,2,1
San Martin de Pangoa,2,3
Athens,1,2
Alcala De Henares,1,3
Luanda,3,21
Augher,3,4
Esquiroz,3,21
Karachi,1,13
srinigar,3,19
Zarauz,3,1
Bilbao,3,1
Bilbao,3,1
Alcala de Henares,3,3
Santo Domingo,3,14
